amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Maximum_Drawdown,scheme_name,expense_ratio_pct,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score
148567,0.2037595706234765,0.339919704004453,0.3097410750185903,1.4482911703262604,0.2698375144191807,-0.1126572907502827,Mirae Asset Large Cap Fund - Regular - Growth,1.46,2.0,1.0,7.0,23.0,8.0,83.64082278481013
120505,0.2962768117152687,0.3176924285223732,0.3282740607461121,1.1801011976606497,0.2926358334175106,-0.1818851357211629,ICICI Pru Midcap Fund - Regular - Growth,1.36,5.0,5.0,3.0,15.0,25.0,79.67879746835443
120843,0.2667758391882715,0.2957511058901836,0.3090745475400549,1.306743969542841,0.2733046503830605,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth,1.45,7.0,2.0,5.0,22.0,13.0,79.39556962025317
100033,0.5327719549540499,0.3243397122906222,0.3012315310072722,1.093698743534631,0.2719535450128533,-0.1621720857464484,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,4.0,7.0,6.0,17.0,20.0,78.16930379746836
120504,0.130737883944783,0.32478927222623,0.2329511862010305,1.0265242847993006,0.2119482701352573,-0.1258827560692251,ICICI Pru Bluechip Fund - Direct - Growth,0.8,3.0,10.0,13.0,12.0,12.0,77.44303797468355
119094,0.2227789715430854,0.351025278890354,0.2821441719365203,0.9982309868636404,0.2607666908004223,-0.2096088386203919,Axis Midcap Fund - Regular - Growth,1.38,1.0,11.0,9.0,17.0,28.0,74.41930379746836
119551,0.6048929711840034,0.3044861306002782,0.25804686425584,1.2082665673727178,0.2320100716063508,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth,1.54,6.0,4.0,10.0,30.5,17.0,72.16772151898734
148569,0.3978380253854239,0.2917135767741186,0.3194952310833252,1.2349300257743292,0.2827036785246582,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,8.0,3.0,4.0,36.5,21.0,71.01424050632912
101206,0.4796379447633372,0.2896021109659372,0.2353836133468803,1.0272133278753697,0.2139978477605121,-0.1129159632932307,ABSL Frontline Equity Fund - Regular - Growth,1.6,9.0,9.0,12.0,36.5,9.0,65.51424050632912
119598,0.8285157468100046,0.2666309129954312,0.3242353615245461,0.9453082575156092,0.3033696538698332,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth,1.43,12.0,14.0,1.0,21.0,36.0,64.7753164556962
149323,0.2149741434953822,0.2686310366881714,0.2958108691043399,1.1321218524747252,0.2659857754204304,-0.1724810575345138,DSP Midcap Fund - Regular - Growth,1.61,11.0,6.0,8.0,38.0,22.0,64.06962025316456
149324,0.6519546577826334,0.2699350260734621,0.3228744045157361,0.949795824661604,0.3005787817097677,-0.3117190030063421,DSP Small Cap Fund - Regular - Growth,1.52,10.0,13.0,2.0,26.5,37.0,64.0617088607595
118632,0.340078958236512,0.2264664745674771,0.2404949266239175,1.0816591793457038,0.2182939790460864,-0.1741407508665723,Nippon India Large Cap Fund - Regular - Growth,1.51,14.0,8.0,11.0,24.5,23.0,63.94620253164557
119552,0.0571011785207777,0.1626337508136064,0.215242358737697,0.953279496866011,0.1986859936686296,-0.1180349350276429,SBI Bluechip Fund - Direct Plan - Growth,0.66,23.0,12.0,15.0,4.0,11.0,63.48101265822785
